elli island 861
 705
ye ye 402
unit state 325
got marri 319
went school 291
know know 263
littl bit 256
statu liberti 247
got job 241
don’t know 230
lot peopl 207
year ago 197
speak english 183
know got 172
th street 167
know mean 164
mother father 155
next day 153
right away 144
went work 143
use come 140
thing know 132
dollar week 130
dine room 124
rememb rememb 122
school went 119
learn english 115
don’t rememb 115
thing rememb 114
know go 113
matter fact 112
come america 111
six month 109
end side 109
time know 109
took care 109
shall tell 108
hundr dollar 108
ten year 107
begin side 107
pass away 107
peopl know 106
know went 106
want come 106
father mother 105
got got 105
world war 102
know use 101
went went 101
time went 100
want know 99
work work 99
night school 98
come home 97
know rememb 93
know much 92
littl girl 91
lot thing 91
came home 91
peopl come 90
mother use 89
pretti good 89
came america 87
side tape 86
use use 86
know came 85
come know 84
year year 84
start work 83
came countri 82
know anyth 81
thank god 81
didn’t know 81
know come 80
peopl came 80
know peopl 80
got sick 80
know thing 79
laugh know 79
know think 79
think think 79
good time 78
go school 77
ask question 76
came came 75
third class 74
ye rememb 74
went home 74
day day 74
rememb much 73
father came 73
know want 72
know laugh 72
year later 72
know time 72
year went 71
realli know 70
shall forget 70
friend mine 70
day know 70
come come 69
someth know 69
got boat 69
want want 69
everyth els 69
time time 68
mother mother 67
rememb know 67
work hard 67
side begin 67
time got 66
know realli 66
older sister 66
year got 65
york citi 65
know father 65
mother sister 65
got along 64
time came 64
know lot 63
come countri 63
twentyf dollar 63
know happen 62
went got 62
use work 62
great big 62
ye went 62
littl littl 62
american citizen 62
thousand dollar 62
right right 61
becom citizen 61
rememb go 61
day came 60
know ye 60
ye know 60
know mother 60
know day 60
mother know 59
school know 59
ice cream 59
whole famili 59
coupl year 59
use give 59
use call 59
came york 59
went night 58
laugh rememb 58
big big 58
anyth els 58
realli rememb 57
time use 57
stay home 57
peopl live 57
young man 57
don’t think 57
know littl 56
go go 55
came know 55
school school 55
laugh ye 55
know work 55
becam citizen 55
live room 55
brother sister 54
good thing 54
use play 54
much money 54
day went 54
