 707
unit state 297
ye ye 269
went school 180
don’t know 125
know know 121
mother father 119
small town 110
world war 109
littl bit 106
come america 105
elli island 103
came america 102
father mother 96
mother use 96
use use 95
don’t rememb 94
use come 93
came countri 92
got marri 88
father came 84
year ago 84
want come 81
jewish peopl 80
rememb rememb 76
know use 72
littl town 72
pass away 72
mother sister 70
realli know 70
live room 70
brother sister 69
time know 68
rememb mother 66
thing know 66
thing rememb 65
came home 65
use call 64
father use 62
matter fact 61
maiden name 59
lot peopl 58
mother mother 57
rememb much 57
know father 56
six month 56
boat 55
know mother 54
know mean 53
come unit 53
father father 52
came unit 51
know rememb 51
come home 51
come countri 50
ye rememb 50
mother brother 50
sister brother 50
oldest brother 49
know got 49
use play 49
year older 48
took care 48
know much 47
older brother 47
littl girl 47
know went 47
school went 46
father left 45
rememb use 45
father brother 45
know call 45
ship 45
year came 44
know ye 44
rememb know 44
father went 44
older sister 44
want know 43
father name 43
came came 43
go school 43
year later 42
work work 42
town call 42
read write 41
know peopl 41
six year 41
peopl live 41
know anyth 41
school school 41
younger brother 40
mother name 40
mother came 40
realli rememb 40
great big 39
town know 39
seven year 39
enough money 39
went went 39
time went 39
sister sister 38
brother brother 38
know littl 38
come come 38
eight year 38
ten year 38
use tell 38
lot thing 38
year went 37
time use 37
rememb thing 37
time mother 37
came mother 37
big citi 37
got job 37
right away 37
mother know 37
come know 36
twelv year 36
work farm 36
father work 36
know realli 36
right right 36
war start 36
time came 35
mother went 35
ye went 35
sister live 35
came father 35
peopl use 34
rememb father 34
know thing 34
ye father 34
ye mother 34
hous live 34
can’t rememb 34
next day 34
rememb go 34
go america 34
mother work 34
school know 34
father die 34
know come 33
hous know 33
peopl came 32
know came 32
war broke 32
laugh ye 32
mother die 32
laugh rememb 32
ye right 32
rememb time 32
far away 32
use bring 32
peopl know 31
peopl come 31
know time 31
know day 31
big hous 31
know want 30
bake bread 30
decid come 30
much know 30
rememb anyth 30
father want 30
tell stori 30
coupl year 30
littl money 30
born 30
know year 30
send money 30
know go 30
use work 30
went work 30
rememb littl 29
littl littl 29
countri know 29
public school 29
time father 29
got sick 29
rememb name 29
mother live 29
thing use 29
got along 29
shall tell 29
mother got 29
groceri store 28
went church 28
aunt uncl 28
mother want 28
year know 28
young man 28
day know 28
laugh know 28
much much 27
home know 27
came know 27
brother came 27
begin side 27
year year 27
know laugh 27
year rememb 27
big big 27
work hard 27
hors wagon 27
across street 27
whole famili 26
room room 26
father know 26
year father 26
know big 26
alway use 26
got got 26
mile away 26
america came 26
didn’t know 26
use lot 26
big room 26
end side 26
nine year 26
ye born 25
someth know 25
rememb went 25
ye got 25
pretti good 25
littl villag 25
time time 25
know think 25
kid know 25
anyth els 25
live know 25
differ thing 25
kind thing 25
run away 25
ye use 25
sister came 24
mother grandmoth 24
quit bit 24
use sell 24
money come 24
know alway 24
sunday school 24
time got 24
know took 24
want leav 24
use sit 24
day day 24
time rememb 24
brother born 24
sent money 24
mother alway 24
mother side 24
come hous 24
last name 23
work know 23
live town 23
youngest brother 23
place know 23
brother name 23
famili know 23
mother come 23
young girl 23
day night 23
year younger 23
much money 23
place live 23
use buy 23
everyth els 23
know live 22
anyth know 22
use live 22
think think 22
don’t think 22
work factori 22
seven eight 22
rememb think 22
dine room 22
live togeth 22
got togeth 22
mother children 22
year age 22
got know 22
start school 22
use walk 22
big famili 22
oldest sister 22
want stay 21
tell truth 21
brother live 21
know work 21
ye live 21
time year 21
start work 21
live father 21
hous rememb 21
told mother 21
go come 21
know name 21
came went 21
differ place 21
think know 21
think mother 21
got littl 21
know sister 21
somebodi els 21
young boy 21
birth date 21
children know 21
speak english 21
use give 21
go go 21
milk cow 21
went train 21
live hous 21
know lot 21
name name 21
cours know 21
time war 21
hous use 21
side tape 21
mr cappellino 21
use pick 20
younger sister 20
stay home 20
lot fun 20
shall forget 20
walk around 20
next door 20
littl hous 20
boy girl 20
ye sure 20
mother littl 20
littl kid 20
know small 20
everyth know 20
know exactli 20
went home 20
church sunday 20
school rememb 20
wrote letter 20
year mother 20
know differ 20
live live 20
laugh mother 20
hebrew school 20
took away 20
board ship 20
mother took 20
littl store 20
learn english 20
sister born 20
thing went 20
use mother 20
brother went 20
apart hous 20
wait minut 20
thousand peopl 20
home mother 19
bread use 19
came got 19
ye came 19
came elli 19
small villag 19
came year 19
sister went 19
