elli island 1021
ye ye 734
unit state 693
 678
went school 493
got marri 439
know know 413
littl bit 389
don’t know 387
mother father 305
year ago 301
lot peopl 290
got job 289
statu liberti 268
use come 255
know mean 249
world war 236
know got 235
come america 228
don’t rememb 224
thing know 223
father mother 221
rememb rememb 213
speak english 209
mother use 205
want come 203
came america 202
next day 200
came countri 194
right away 192
use use 191
thing rememb 190
th street 189
know use 188
pass away 188
time know 187
matter fact 185
went work 184
came home 176
school went 175
took care 174
six month 172
small town 169
know went 168
father came 165
know rememb 161
come home 159
know go 158
went went 158
dine room 156
want know 154
peopl know 153
mother sister 153
ten year 152
littl girl 148
shall tell 147
time went 147
work work 147
jewish peopl 146
know much 145
dollar week 145
rememb much 144
lot thing 144
end side 144
learn english 144
realli know 143
begin side 143
brother sister 140
know peopl 139
mother mother 138
peopl come 138
ye rememb 136
got got 135
use call 135
know mother 132
know father 132
know anyth 131
live room 129
year later 129
peopl came 129
came came 129
come know 129
know came 129
know thing 127
hundr dollar 125
go school 124
night school 122
know come 121
come countri 121
know ye 119
pretti good 119
father use 118
know time 118
father father 118
got sick 118
know think 118
rememb know 117
older sister 116
year year 116
laugh know 116
year went 113
come come 113
didn’t know 113
rememb mother 112
time came 111
side tape 111
littl town 110
know want 109
know realli 109
start work 109
peopl live 108
use play 108
know laugh 107
think think 107
right right 106
day know 106
someth know 105
great big 105
mother brother 105
thank god 105
mother know 104
know littl 104
school school 103
rememb go 103
father brother 103
went home 102
six year 102
day day 102
year came 101
realli rememb 101
work hard 101
come unit 101
got along 100
laugh ye 100
ye went 100
enough money 99
time time 99
good time 99
know call 98
use work 98
know lot 98
time use 97
time got 97
york citi 97
mother went 97
know day 97
use tell 97
don’t think 97
got boat 96
coupl year 96
everyth els 96
ask question 95
whole famili 94
school know 94
littl littl 94
sister brother 94
seven year 94
third class 92
father went 92
peopl use 91
read write 91
shall forget 91
laugh rememb 91
rememb thing 90
came know 90
side begin 90
year older 90
aunt uncl 89
year know 89
young man 89
friend mine 88
want want 88
came unit 88
big big 88
eight year 88
maiden name 87
father die 87
ye know 86
older brother 86
anyth els 86
year got 85
know happen 85
mother die 85
mother came 85
go come 84
know work 84
much know 84
know big 84
far away 84
stay home 83
go go 83
went got 83
work know 83
oldest brother 83
countri know 82
brother brother 82
rememb time 82
much money 82
somebodi els 81
know took 81
father work 81
use give 81
groceri store 81
rememb name 81
twelv year 80
go america 80
young peopl 80
know year 80
differ thing 80
got know 80
hous live 79
big room 79
mother got 79
start school 79
hous know 79
home know 79
tell stori 78
