 754
elli island 681
ye ye 322
got marri 288
unit state 265
went school 249
got job 207
littl bit 199
statu liberti 186
know know 186
don’t know 179
year ago 165
lot peopl 161
speak english 158
know mean 138
know got 136
mother father 131
went work 126
right away 125
th street 125
use come 114
dollar week 110
next day 104
school went 102
learn english 98
pass away 97
thing know 96
rememb rememb 94
six month 92
shall tell 91
know went 91
work work 91
father mother 87
want know 86
ten year 85
want come 84
hundr dollar 84
know go 83
came home 83
took care 83
peopl know 82
come home 82
time know 81
dine room 81
end side 80
don’t rememb 80
world war 79
peopl come 78
begin side 78
night school 77
thing rememb 77
come america 77
matter fact 77
time went 76
year year 76
pretti good 76
went went 75
littl girl 73
know rememb 72
thank god 70
came countri 69
year later 69
got got 68
come know 68
day day 68
know come 67
know think 66
peopl came 65
know use 65
know came 65
go school 64
mother use 64
came america 64
know peopl 63
work hard 63
ask question 62
start work 62
mother sister 62
know time 61
good time 60
got along 59
lot thing 59
came came 59
laugh know 59
year got 59
friend mine 58
side tape 58
coupl year 58
think think 58
year went 57
know much 57
know mother 57
time time 57
went home 57
becam citizen 57
know want 57
didn’t know 57
ye rememb 56
twentyf dollar 56
want want 55
mother mother 55
rememb know 55
rememb much 55
know anyth 55
becom citizen 54
know thing 54
got sick 54
thousand dollar 54
use use 53
realli know 53
use call 53
went got 52
know father 52
side begin 52
right right 52
east side 52
time got 51
anyth els 51
mother went 50
father came 50
brother sister 50
speak languag 50
day went 50
know happen 49
school know 49
school school 49
shall forget 49
mother know 49
stay home 49
whole famili 49
ye went 49
know realli 49
peopl live 49
graduat school 48
everyth els 48
lo angel 48
got boat 47
know littl 47
great big 47
littl boy 47
got littl 47
use play 47
thing happen 47
american citizen 47
english languag 47
know laugh 46
time use 46
know work 46
don’t think 46
go go 45
use work 45
york citi 45
someth know 45
time came 45
work know 45
know day 45
young man 45
got know 45
enough money 44
live live 44
realli rememb 44
went right 44
went night 43
jewish peopl 43
young peopl 43
english know 43
know ye 43
mother got 43
year know 43
day know 43
live room 43
come come 43
aunt uncl 42
come countri 42
use give 42
good thing 42
next morn 42
came know 41
big big 41
know kind 41
littl littl 41
spoke english 41
go come 40
older sister 40
small town 40
day came 40
know lot 40
father got 40
rememb name 40
groceri store 40
somebodi els 39
father brother 39
father father 39
mother die 39
peopl work 39
start school 39
know noth 39
father went 39
told mother 39
use tell 39
want work 39
school year 38
work day 38
day got 38
nine year 38
time think 38
came elli 38
mother alway 38
countri know 38
rememb go 38
brother came 38
brother brother 38
big hall 38
father work 38
father die 38
kind thing 38
know differ 38
six year 38
san francisco 38
year came 37
live york 37
ice cream 37
ye know 37
mother brother 37
speak italian 37
sister went 37
came york 37
dollar month 37
rememb thing 36
place know 36
peopl use 36
thought go 36
know talk 36
boy girl 36
final got 36
public school 36
much money 36
ten day 36
use walk 36
ten dollar 36
whole thing 35
aw lot 35
mean know 35
father use 35
ye right 35
time saw 35
big room 35
money know 35
came time 35
take care 35
mother want 35
lot money 35
walk around 34
came visit 34
mayb year 34
sure sure 34
got money 34
hous live 34
kid know 34
much know 34
come got 34
went know 34
met husband 34
differ thing 34
seven year 34
twenti year 34
talk english 34
school got 33
next door 33
good know 33
laugh rememb 33
day rememb 33
day come 33
know year 33
across street 33
home know 33
learn languag 33
shall give 33
room know 32
got elli 32
rememb mother 32
school learn 32
anyth know 32
eight year 32
think know 32
know cours 32
took train 32
third class 32
whatev want 32
last year 32
rememb think 32
look around 31
peopl got 31
young girl 31
work year 31
know tell 31
job work 31
know good 31
father know 31
know alway 31
mother come 31
know told 31
father want 31
stay year 31
work went 31
call name 31
mother work 31
clear throat 31
year older 31
mother came 31
came got 31
know english 31
day week 30
got togeth 30
peopl went 30
know mayb 30
everyth know 30
sister brother 30
start talk 30
know someth 30
know took 30
break tape 30
hous know 30
bought hous 30
someth els 30
look look 30
older brother 30
children children 30
far away 30
right know 30
month got 30
came went 30
good friend 30
thing got 30
look job 30
peopl time 30
got paper 29
tell stori 29
good life 29
laugh ye 29
come want 29
good good 29
went colleg 29
know look 29
read write 29
peopl peopl 29
rememb came 29
twelv year 29
children know 29
hard work 29
school work 29
citizen paper 29
clock morn 29
littl town 29
think rememb 29
time work 29
hundr peopl 28
man came 28
god bless 28
fifti dollar 28
know everyth 28
talk know 28
know call 28
live hous 28
boat know 28
around know 28
live know 28
use bring 28
go know 28
work got 28
start go 28
went busi 28
uncl came 28
want marri 28
live year 28
open door 28
think went 28
school night 28
saw statu 27
sister came 27
place live 27
bunk bed 27
island rememb 27
job got 27
year work 27
rememb anyth 27
tape begin 27
littl thing 27
noth know 27
time come 27
stay overnight 27
time rememb 27
went train 27
know right 27
got train 27
big citi 27
big thing 27
street school 27
someth wrong 27
island think 27
think took 27
fourteen year 27
went york 27
ye came 27
short time 27
much better 27
sixteen year 27
learn speak 27
tell truth 26
went place 26
rememb got 26
know live 26
send money 26
sister live 26
sister mother 26
right ye 26
far rememb 26
come mother 26
went live 26
ye think 26
come elli 26
six seven 26
differ place 26
everybodi els 26
cours know 26
coupl day 26
ye mother 26
want stay 26
think mother 26
know big 26
went elli 26
quit bit 26
half year 26
use live 26
want tell 26
go happen 25
name call 25
nice peopl 25
island know 25
know young 25
rememb exactli 25
peopl go 25
knew know 25
let know 25
good job 25
live right 25
didn’t want 25
ye lot 25
examin eye 25
month later 25
oldest brother 25
want give 25
work mother 25
rememb time 25
go america 25
tell someth 25
doctor examin 25
thing think 25
fifth avenu 25
mr cappellino 25
thing thing 24
come hous 24
marri marri 24
year think 24
go work 24
word english 24
thing come 24
rememb use 24
thing went 24
rememb day 24
use know 24
big hous 24
kind peopl 24
came year 24
fifteen year 24
got work 24
work use 24
rememb father 24
think got 24
run around 24
think realli 24
know feel 24
that’ right 24
got lot 24
come unit 24
wrote letter 24
wait minut 24
go stay 24
fifti year 24
chang name 24
much time 24
went church 24
happi happi 24
eighteen year 24
coast guard 24
sister got 23
peopl knew 23
know everybodi 23
took time 23
money got 23
night time 23
know languag 23
ye father 23
write letter 23
know guess 23
thing ye 23
came father 23
alway want 23
time mother 23
small boat 23
knew knew 23
want school 23
got home 23
friend know 23
thirteen year 23
nice nice 23
come york 23
year time 23
ten cent 23
brother went 23
boat came 23
know stay 23
use buy 23
day use 23
coupl week 23
big place 23
got letter 23
stay stay 23
much differ 23
hard time 23
work mine 23
noth noth 23
work time 23
know anybodi 23
peopl talk 23
great deal 23
cent hour 23
young boy 22
know thought 22
walk walk 22
want leav 22
want learn 22
came hous 22
peopl want 22
know nice 22
thing mother 22
year ye 22
mother go 22
father alway 22
school time 22
citizenship paper 22
day night 22
noth els 22
differ know 22
use sit 22
board ship 22
littl room 22
knew go 22
think ye 22
know exactli 22
laugh got 22
school rememb 22
wonder time 22
think father 22
name name 22
hors wagon 22
look know 22
know shall 22
medic school 22
time ye 22
know start 22
come day 22
kind work 22
jersey citi 22
sort thing 22
met wife 22
later year 21
know knew 21
year move 21
got school 21
gave job 21
famili came 21
know speak 21
want becom 21
know boat 21
know read 21
oldest son 21
home town 21
come go 21
use send 21
anyway went 21
went year 21
school right 21
boat come 21
anyway got 21
school want 21
dollar day 21
come time 21
tell know 21
marri got 21
good cook 21
lot friend 21
came work 21
earli morn 21
anyth want 21
cours mother 21
know children 21
realli want 21
got good 21
seventeen year 21
came mother 21
differ peopl 21
mother took 21
saturday night 21
block away 21
time ago 21
certain thing 21
look eye 21
last time 21
pay much 21
told want 21
staten island 21
school start 21
thank much 21
home got 21
know america 21
marri children 21
start cri 21
day work 21
thing want 21
finish school 21
want talk 21
find job 21
italian peopl 21
school teacher 21
depart store 21
much rememb 20
turn around 20
left left 20
time took 20
day go 20
much much 20
hebrew school 20
came sister 20
know must 20
hous hous 20
rememb ye 20
brother got 20
took school 20
best thing 20
ye got 20
think go 20
father time 20
work father 20
friend friend 20
marri time 20
show pictur 20
everybodi got 20
thing came 20
play card 20
work factori 20
younger brother 20
brother live 20
children got 20
stay week 20
day later 20
know better 20
cours went 20
mother live 20
told stori 20
eleven year 20
come boat 20
man come 20
brother born 20
differ kind 20
sixth grade 20
laugh think 20
peopl lot 20
better life 20
shall come 20
younger sister 20
job went 20
save money 20
took elli 20
peopl differ 20
differ nation 20
tell thing 20
number year 20
becom american 20
coffe hous 20
whatev call 19
coney island 19
came day 19
littl money 19
laugh went 19
feel good 19
go send 19
nice hous 19
maiden name 19
ye much 19
nice know 19
went time 19
everybodi know 19
rememb see 19
got use 19
know kid 19
mother told 19
know anyway 19
school ye 19
time father 19
cri cri 19
think stay 19
think anyth 19
realli think 19
school use 19
sew machin 19
cours got 19
money buy 19
big boat 19
girl boy 19
famili know 19
twenti dollar 19
month went 19
morn went 19
keep go 19
know word 19
grammar school 19
know don’t 19
love america 19
i’m go 19
came took 19
mean noth 19
coal mine 19
sister sister 19
next year 19
six week 19
taken care 19
year school 19
day took 19
think much 19
time year 19
nd street 19
thirti year 19
right went 18
somebodi come 18
sister marri 18
day school 18
read read 18
got hous 18
man use 18
work came 18
eight nine 18
took littl 18
uncl uncl 18
boat rememb 18
help know 18
know give 18
room ye 18
father sister 18
got went 18
happen know 18
third grade 18
uncl aunt 18
whatev know 18
boat went 18
go marri 18
spoke languag 18
felt sorri 18
thing go 18
told father 18
father told 18
want live 18
realli nice 18
ye work 18
york went 18
rememb get 18
look forward 18
live brooklyn 18
real good 18
went stay 18
ye use 18
coupl time 18
abl speak 18
go tell 18
york harbor 18
lot time 18
went mother 18
year live 18
sunday school 18
poor peopl 18
father knew 18
know didn’t 18
eat eat 18
doctor came 18
come work 18
post offic 18
ye uhhuh 18
father live 18
doctor doctor 18
right near 18
speak german 18
year half 18
coupl month 18
girl know 18
period time 18
ye sure 18
black peopl 18
came pick 18
air forc 18
talk italian 18
knock door 18
clock night 18
want someth 18
money money 18
got place 18
rememb realli 18
day think 18
hour day 18
differ countri 18
paper got 18
ferri boat 18
know tri 18
husband die 18
busi school 18
forti year 18
seven eight 18
rememb lot 18
time live 17
far know 17
know sister 17
quit year 17
york live 17
found place 17
nine ten 17
room board 17
mother sick 17
men women 17
class class 17
know name 17
street know 17
know hous 17
know help 17
sister know 17
soon got 17
boat boat 17
week know 17
came boat 17
alway work 17
spoke italian 17
know learn 17
got big 17
call know 17
call mother 17
import thing 17
stay night 17
time laugh 17
pass pass 17
came stay 17
rememb went 17
time day 17
husband got 17
nice place 17
die die 17
famili went 17
think probabl 17
right laugh 17
came rememb 17
came live 17
six day 17
thing use 17
place went 17
ye time 17
stay month 17
becam american 17
els know 17
went visit 17
school graduat 17
peopl rememb 17
morn got 17
languag know 17
job know 17
speak word 17
year younger 17
got apart 17
english word 17
everybodi went 17
bad time 17
someth happen 17
spoke yiddish 17
friend use 17
husband came 17
know ask 17
great grandchildren 17
earn money 17
came along 17
sixti year 17
english learn 17
got acquaint 17
hous went 17
know danc 17
start look 17
room room 17
home went 17
peopl nice 17
go home 17
peopl think 17
come place 17
america know 17
fifti cent 17
motion pictur 17
rd street 17
sister mari 17
young fellow 16
somewher els 16
realli got 16
money went 16
time realli 16
got older 16
east broadway 16
school came 16
lot fun 16
think mayb 16
told go 16
cold water 16
came ye 16
main street 16
year mother 16
came come 16
time start 16
togeth know 16
ship know 16
home work 16
year start 16
time want 16
want mother 16
littl kid 16
marri live 16
come stay 16
hous father 16
know man 16
social secur 16
place work 16
ye good 16
boat got 16
work peopl 16
ask name 16
later got 16
thing realli 16
fact mother 16
eight clock 16
work ye 16
famili live 16
war broke 16
kept go 16
larg room 16
play piano 16
english spoke 16
rememb told 16
got ship 16
peopl mean 16
know brother 16
train came 16
nice clean 16
come visit 16
lot differ 16
talk much 16
tell mother 16
anybodi want 16
daughter son 16
year marri 16
like much 16
whole day 16
polish peopl 16
think use 16
irish peopl 16
went look 16
food know 16
young ladi 16
went doctor 16
sent money 16
train come 16
man know 16
use speak 16
salt lake 16
littl boat 16
got children 16
came train 16
littl store 16
home told 16
walk street 16
use stay 16
read book 16
father took 16
lower east 16
took year 16
move brooklyn 16
fifteen dollar 16
learn learn 16
live ye 16
job right 16
