 756
unit state 285
ye ye 230
went school 156
mother father 123
know know 121
come america 115
came america 108
world war 106
littl bit 104
don’t know 100
elli 99
small town 95
don’t rememb 95
father mother 93
came countri 90
use come 85
mother use 83
father came 80
rememb rememb 79
want come 76
matter fact 74
year ago 74
thing rememb 73
use use 72
time know 72
got marri 69
lot peopl 69
littl town 67
know use 66
jewish peopl 64
use call 63
realli know 62
rememb mother 60
came home 59
mother sister 59
brother sister 58
rememb much 57
mother mother 56
ye rememb 56
pass away 56
statu liberti 55
maiden name 55
thing know 54
took care 54
know much 53
father use 53
know rememb 53
littl girl 52
know mean 52
know got 51
got sick 51
six year 49
six month 49
great big 48
know father 48
use tell 48
year came 47
know mother 47
come home 47
next day 47
come unit 47
came came 46
father father 46
mother brother 46
rememb go 46
older brother 46
sister brother 46
go america 45
father left 45
live room 45
came unit 44
come countri 44
dine room 44
older sister 44
school went 43
time went 43
third class 42
know anyth 41
younger brother 41
go school 41
year older 41
peopl came 40
father name 40
oldest brother 40
mother came 40
peopl live 40
read write 39
right right 39
know call 39
rememb thing 39
seven year 39
year later 38
want know 38
use play 38
time came 37
mother know 37
realli rememb 37
know realli 37
come know 37
rememb know 37
tell stori 37
ten year 37
know thing 36
right away 36
lot thing 35
father brother 35
know littl 35
mother name 35
rememb time 35
enough money 35
know went 35
everyth els 35
peopl use 34
know peopl 34
mother die 34
time mother 34
young man 34
big citi 34
town call 34
know year 34
father die 34
elli island 33
rememb father 33
twelv year 33
come come 33
eight year 33
ye mother 33
laugh rememb 33
came mother 33
father work 33
day know 33
know go 32
someth know 32
war broke 32
town know 32
work work 32
ye father 32
father went 32
year rememb 32
mother work 32
year went 31
peopl know 31
rememb use 31
decid come 31
laugh ye 31
know think 31
got job 31
didn’t know 31
time use 30
know came 30
know ye 30
ye went 30
father want 30
ye right 30
laugh know 30
know come 29
shall tell 29
rememb littl 29
peopl come 29
rememb anyth 29
born 29
hous live 29
know day 29
sister live 29
aunt uncl 29
know time 29
came father 29
school school 29
send money 29
use bring 29
went went 29
board ship 29
america came 28
public school 28
brother brother 28
took train 28
littl villag 28
littl money 27
shall forget 27
got boat 27
sister sister 27
came elli 27
mother want 27
day night 27
know laugh 27
good time 27
far away 27
school know 27
hors wagon 27
war start 27
know happen 26
got got 26
littl littl 26
coupl year 26
mother went 26
begin side 26
work hard 26
time rememb 26
year father 26
whole famili 25
bake bread 25
much know 25
know big 25
groceri store 25
ye got 25
came know 25
time father 25
think mother 25
big big 25
mother children 25
end side 25
side tape 25
know want 24
use write 24
walk around 24
rememb went 24
countri know 24
home know 24
boat know 24
went work 24
boy girl 24
mile away 24
day come 24
pretti good 24
live father 24
rememb day 24
think think 24
can’t rememb 24
year younger 24
rememb think 24
mother live 24
children know 24
sent money 24
place live 24
start school 24
sister came 23
room room 23
mother grandmoth 23
year mother 23
go go 23
took boat 23
year year 23
work farm 23
bueno air 23
go come 22
time got 22
year know 22
tell truth 22
year ye 22
use sell 22
much much 22
rememb see 22
went church 22
place know 22
time time 22
kind thing 22
don’t think 22
know took 22
anyth els 22
got along 22
use give 22
brother born 22
brother name 22
mother got 22
much money 22
brother came 22
learn english 22
much better 22
use work 22
across street 22
went train 21
came year 21
ye born 21
father know 21
use live 21
york citi 21
ye live 21
youngest brother 21
whole thing 21
nine year 21
seven eight 21
mother come 21
came went 21
differ place 21
kid know 21
school learn 21
live mother 21
differ thing 21
got know 21
mother took 21
run away 21
live hous 21
brother went 21
use walk 21
break tape 21
sunday school 21
mr cappellino 21
came time 20
know exactli 20
last name 20
run around 20
grandmoth grandfath 20
small villag 20
anyth know 20
brother live 20
school came 20
time year 20
hous rememb 20
littl kid 20
money come 20
rememb name 20
know name 20
use sit 20
know differ 20
big hous 20
day day 20
young boy 20
live togeth 20
hebrew school 20
lot money 20
littl store 20
final got 20
apart hous 20
cours know 20
want leav 20
come hous 20
speak italian 20
ye know 20
use pick 19
younger sister 19
want stay 19
live town 19
alway use 19
littl hous 19
right ye 19
want want 19
famili live 19
young girl 19
know lot 19
father come 19
hous know 19
thing use 19
wrote letter 19
got littl 19
food know 19
father sister 19
hous hous 19
birth date 19
speak english 19
use lot 19
got togeth 19
brother mother 19
rememb get 19
come mother 19
six seven 19
boat come 19
come came 19
wait minut 19
know live 18
poor peopl 18
peopl town 18
friday night 18
mother rememb 18
home mother 18
open door 18
know cours 18
went visit 18
mother littl 18
mother famili 18
die year 18
think know 18
went home 18
i’m sure 18
work factori 18
children mother 18
ten day 18
aboard ship 18
class class 18
somebodi els 18
peopl went 18
ten dollar 18
took away 18
brother got 18
ask mother 18
sort thing 18
mother alway 18
sister born 18
big famili 18
differ kind 18
time war 18
famili father 18
write letter 17
laugh mother 17
aw lot 17
live littl 17
love love 17
rememb got 17
young peopl 17
work know 17
know right 17
live right 17
know noth 17
rememb ye 17
inaud ye 17
start work 17
realli much 17
cours mother 17
thing thing 17
famili know 17
big boat 17
went got 17
rest famili 17
coupl day 17
think year 17
ship know 17
